頻道,訊息ID,發送者,匹配檔案,票數,URL
108,1472478905972817992,Pokétwo#8236,963.png,23,https://cdn.discordapp.com/attachments/1468632828660158487/1472478906325008404/pokemon.jpg?ex=6a7ac058&is=6a796ed8&hm=6d7d8ee0340c561baa2629f9551cca90d698524ab8dc5801c058c7de1bdfdf73&
326,1472482157439094825,Pokétwo#8236,930.png,36,https://cdn.discordapp.com/attachments/1468632833068110124/1472482157510529145/pokemon.jpg?ex=6a7ac35f&is=6a7971df&hm=5c8865b2f0624d02b456014e9823da408cd37894ef3996d95e5133872960a294&
321,1478585390331068517,Pokétwo#8236,544.png,85,https://cdn.discordapp.com/attachments/1468632833068110119/1478585390427275294/pokemon.jpg?ex=6a7a8df3&is=6a793c73&hm=60d8e31519cda4a833bdf6868bd434e981d4b0cc3c73f694d4a532a09fbf7450&
163,1472387111247282271,Pokétwo#8236,977.png,50,https://cdn.discordapp.com/attachments/1468632829754867720/1472387111465521275/pokemon.jpg?ex=6a7a6adb&is=6a79195b&hm=18df24babd4a78035105a96c003c8459f5df55a5c9be123f1f6a499485459f8b&
441,1472239881353691442,Pokétwo#8236,436.png,8,https://cdn.discordapp.com/attachments/1468632834993295566/1472239881538506915/pokemon.jpg?ex=6a7a8a7c&is=6a7938fc&hm=b4a82685781760428844407eb5d122f1c7ca7f7ad75d0a461182d58497558104&
210,1472251707055542398,Pokétwo#8236,63.png,31,https://cdn.discordapp.com/attachments/1468632830627025122/1472251707382829216/pokemon.jpg?ex=6a7a9580&is=6a794400&hm=44baeac5f00ccdfd701a4666fdcb9de1e66e909437a3bef82bd52b34c1530d9b&
179,1472359385656459452,Pokétwo#8236,859.png,29,https://cdn.discordapp.com/attachments/1468632830069182488/1472359385983353017/pokemon.jpg?ex=6a7af9c8&is=6a79a848&hm=69400cc3a7eea90ef92c0520a87f3933e7644f31788a9ce99376132aee0dd561&
7,1472467832192372767,Pokétwo#8236,929.png,30,https://cdn.discordapp.com/attachments/1468632826202161266/1472467832473256187/pokemon.jpg?ex=6a7ab608&is=6a796488&hm=d2f6875a917637f75f280708e2775b8b54b46101c79f5bd4efe24824b0620b40&
285,1472485325480923310,Pokétwo#8236,29.png,62,https://cdn.discordapp.com/attachments/1468632832481169472/1472485325543571598/pokemon.jpg?ex=6a7ac653&is=6a7974d3&hm=7dfc5582b38dcaf3b721da2c914bcf4ef2830fc818231e3c6a2249018c57f3f2&
296,1472362054009487408,Pokétwo#8236,619.png,53,https://cdn.discordapp.com/attachments/1468632832627707939/1472362054131257457/pokemon.jpg?ex=6a7afc44&is=6a79aac4&hm=467fb78919a360652d9900344ae3cb2100d6a3c08c199b0ea70dfc58b0d6e8d8&
29,1472345680197587078,Pokétwo#8236,816.png,86,https://cdn.discordapp.com/attachments/1468632827095421051/1472345680272949441/pokemon.jpg?ex=6a7aed05&is=6a799b85&hm=a6d135126c8bbb95b5aa0e8cd3be4207b680df9bf12fa8f1ea6b480794da7f82&
383,1472392483013922987,Pokétwo#8236,418F.png,73,https://cdn.discordapp.com/attachments/1468632834016022632/1472392483114848378/pokemon.jpg?ex=6a7a6fdb&is=6a791e5b&hm=f95ab9429d319cfe6216e61e48a88a7a91f2220241139b1bf754be5234ae2f3c&
388,1472349352717582592,Pokétwo#8236,944.png,11,https://cdn.discordapp.com/attachments/1468632834016022637/1472349353048936591/pokemon.jpg?ex=6a7af070&is=6a799ef0&hm=e7cc79e6fe877181694706908edb206b9e511a03eb572442f4b4593e5c560fe5&
247,1472454162167103699,Pokétwo#8236,511.png,29,https://cdn.discordapp.com/attachments/1468632831742967914/1472454162368434374/pokemon.jpg?ex=6a7aa94d&is=6a7957cd&hm=cfd14fb33ba3500d5eb0ea64f4ae92956508409fb9953410dbd555f78a768c80&
195,1472445564586168576,Pokétwo#8236,10260.png,44,https://cdn.discordapp.com/attachments/1468632830463709194/1472445564770582680/pokemon.jpg?ex=6a7aa14b&is=6a794fcb&hm=49dc268fc310705f73bd2a010e3ec976a6854f0030a8afe199014b14f4950b25&
401,1472375857325674620,Pokétwo#8236,61.png,117,https://cdn.discordapp.com/attachments/1468632834335051904/1472375857401168105/pokemon.jpg?ex=6a7b091f&is=6a79b79f&hm=acaad6fda780ba3578dd0261539450076b9231fd85790760ff512dc036ef7f86&
237,1472236949011173438,Pokétwo#8236,728.png,38,https://cdn.discordapp.com/attachments/1468632831277142201/1472236949447118888/pokemon.jpg?ex=6a7a87c1&is=6a793641&hm=4e3da0a972f28fe23f4a1d60f11715b03ae08eae40b275770444d445f2982955&
279,1472446049783386206,Pokétwo#8236,60.png,128,https://cdn.discordapp.com/attachments/1468632832334364831/1472446050114732132/pokemon.jpg?ex=6a7aa1bf&is=6a79503f&hm=047818c55f302c34d510d38a3deb4ba30a1ed8d02a81394c26900e3cc59465d5&
470,1472460763498024992,Pokétwo#8236,664.png,31,https://cdn.discordapp.com/attachments/1468632835458863179/1472460763687030824/pokemon.jpg?ex=6a7aaf73&is=6a795df3&hm=12ffc4551318a0084f0d842287e939a2fd1acdb956f1113ec61d24997e0457a0&
316,1472421224545255424,Pokétwo#8236,10027.png,32,https://cdn.discordapp.com/attachments/1468632832925765791/1472421224675152025/pokemon.jpg?ex=6a7a8aa0&is=6a793920&hm=53c584305fa2bff771f8cdbe21ebc93a19cd0853053300253a16a27503d894f2&
254,1472489714261950596,Pokétwo#8236,29.png,58,https://cdn.discordapp.com/attachments/1468632831902355731/1472489714438377563/pokemon.jpg?ex=6a7aca69&is=6a7978e9&hm=60b7772eb594a4009dad1980febca100e8ebf85d02a30eefd8a606d24428b39a&
88,1472424796682715353,Pokétwo#8236,575.png,80,https://cdn.discordapp.com/attachments/1468632828152385631/1472424796771061830/pokemon.jpg?ex=6a7a8df3&is=6a793c73&hm=215772b9830df55c5258dea2dad681da7c9c987a3f8030525e7f73cad47ccaa8&
39,1472315036083949699,Pokétwo#8236,856.png,23,https://cdn.discordapp.com/attachments/1468632827217313978/1472315036201385994/pokemon.jpg?ex=6a7ad07a&is=6a797efa&hm=95e8a655aba5c33184afb083e1b05cde21d1aeac1d5f80880cc86aae6fa40c3c&
107,1472420701339255093,Pokétwo#8236,650.png,63,https://cdn.discordapp.com/attachments/1468632828660158486/1472420701855154197/pokemon.jpg?ex=6a7a8a23&is=6a7938a3&hm=b549d886df900d68fd3fe36d3d53059e72365434e4e3dfe5daf6dc7c2d341f2f&
182,1472421696958103625,Pokétwo#8236,175.png,152,https://cdn.discordapp.com/attachments/1468632830069182491/1472421697062699059/pokemon.jpg?ex=6a7a8b10&is=6a793990&hm=17e049617d97bd18405772772dea9bb4bcac1176b53ac75480a965062f056903&
464,1472478663894372423,Pokétwo#8236,653.png,59,https://cdn.discordapp.com/attachments/1468632835303936117/1472478664145764536/pokemon.jpg?ex=6a7ac01e&is=6a796e9e&hm=db15be3a205ccab877b0360cd01cb958f2eafdb8fcf6a3598901ad95dce834cc&
22,1472477908017610753,Pokétwo#8236,352.png,71,https://cdn.discordapp.com/attachments/1468632826847953115/1472477908516868156/pokemon.jpg?ex=6a7abf6a&is=6a796dea&hm=5e664e0b65a62b7082d0aefa22e324c541bc8b17a302600375a6727c7a13c046&
116,1472461573904928770,Pokétwo#8236,13.png,26,https://cdn.discordapp.com/attachments/1468632829008023552/1472461574206656624/pokemon.jpg?ex=6a7ab034&is=6a795eb4&hm=5a883b918781289759e3b8321147502df99269c3785c2540f1167986263c8736&
