½s¸¹,¤¤¤å,­^¤å
#0001,§®µìºØ¤l,Bulbasaur
#0002,§®µì¯ó,Ivysaur
#0003,§®µìªá,Venusaur
#0004,¤p¤õÀs,Charmander
#0005,¤õ®£Às,Charmeleon
#0006,¼Q¤õÀs,Charizard
#0007,³Ç¥§Àt,Squirtle
#0008,¥d«}Àt,Wartortle
#0009,¤ô½bÀt,Blastoise
#0010,ºñ¤òÂÎ,Caterpie
#0011,ÅK¥Ò¸º,Metapod
#0012,¤Ú¤j½º,Butterfree
#0013,¿W¨¤ÂÎ,Weedle
#0014,ÅK´ß¸º,Kakuna
#0015,¤j°w¸Á,Beedrill
#0016,ªiªi,Pidgey
#0017,¤ñ¤ñ³¾,Pidgeotto
#0018,¤j¤ñ³¾,Pidgeot
#0019,¤p©Ô¹F,Rattata
#0019,¤p©Ô¹F,Rattata
10091,,Rattata
,ªüÃ¹©Ôªº¼Ë¤l,
#0020,©Ô¹F,Raticate
#0020,©Ô¹F,Raticate
10092,,Raticate
,ªüÃ¹©Ôªº¼Ë¤l,
#0021,¯P³¶,Spearow
#0022,¤j¼L³¶,Fearow
#0023,ªü¬f³D,Ekans
#0024,ªü¬f©Ç,Arbok
#0025,¥Ö¥d¥C,Pikachu
10094,,Pikachu
10095,,Pikachu
10096,,Pikachu
10097,,Pikachu
10098,,Pikachu
10099,,Pikachu
10148,,Pikachu
10239,,Pikachu
#0026,¹p¥C,Raichu
#0026,¹p¥C,Raichu
10100,ªüÃ¹©Ôªº¼Ë¤l,Raichu
#0027,¬ï¤s¹«,Sandshrew
#0027,¬ï¤s¹«,Sandshrew
10101,ªüÃ¹©Ôªº¼Ë¤l,Sandshrew
#0028,¬ï¤s¤ý,Sandslash
#0028,¬ï¤s¤ý,Sandslash
10102,ªüÃ¹©Ôªº¼Ë¤l,Sandslash
#0029,¥§¦hÄõ,Nidoran¡ð
#0030,¥§¦h®R,Nidorina
#0031,¥§¦h¦Z,Nidoqueen
#0032,¥§¦h®Ô,Nidoran¡ñ
#0033,¥§¦h¤O¿Õ,Nidorino
#0034,¥§¦h¤ý,Nidoking
#0035,¥Ö¥Ö*,Clefairy
#0036,¥Ö¥i¦è*,Clefable
#0037,¤»§À,Vulpix
#0037,¤»§À,Vulpix
10103,ªüÃ¹©Ôªº¼Ë¤l,Vulpix
#0038,¤E§À,Ninetales
#0038,¤E§À,Ninetales
10104,ªüÃ¹©Ôªº¼Ë¤l,Ninetales
#0039,­D¤B*,Jigglypuff
#0040,­D¥i¤B*,Wigglytuff
#0041,¶W­µ½»,Zubat
#0042,¤j¼L½»,Golbat
#0043,¨«¸ô¯ó,Oddish
#0044,¯ä¯äªá,Gloom
#0045,ÅQ¤ýªá,Vileplume
#0046,¬£©Ô´µ,Paras
#0047,¬£©Ô´µ¯S,Parasect
#0048,¤ò²y,Venonat
#0049,¼¯¾|¸¿,Venomoth
#0050,¦a¹«,Diglett
#0050,¦a¹«,Diglett
10105,ªüÃ¹©Ôªº¼Ë¤l,Diglett
#0051,¤T¦a¹«,Dugtrio
#0051,¤T¦a¹«,Dugtrio
10106,ªüÃ¹©Ôªº¼Ë¤l,Dugtrio
#0052,ØpØp,Meowth
#0052,ØpØp,Meowth
10107,ªüÃ¹©Ôªº¼Ë¤l,Meowth
#0052,ØpØp,Meowth
10158,¦÷°Çº¸ªº¼Ë¤l,Meowth
#0053,¿ß¦Ñ¤j,Persian
#0053,¿ß¦Ñ¤j,Persian
10108,ªüÃ¹©Ôªº¼Ë¤l,Persian
#0054,¥i¹FÀn,Psyduck
#0055,­ô¹FÀn,Golduck
#0056,µU©Ç,Mankey
#0057,¤õÃzµU,Primeape
#0058,¥d¸¦ª¯,Growlithe
#0058,¥d¸¦ª¯,Growlithe
,¬~»Aªº¼Ë¤l,
#0059,­·³tª¯,Arcanine
#0059,­·³tª¯,Arcanine
,¬~»Aªº¼Ë¤l,
#0060,°A­»½Á°B,Poliwag
#0061,°A­»§g,Poliwhirl
#0062,°A­»ªa¤h,Poliwrath
#0063,³Í¦è,Abra
#0064,«i°ò©Ô,Kadabra
#0065,­J¦a,Alakazam
#0066,µÃ¤O,Machop
#0067,»¨¤O,Machoke
#0068,©Ç¤O,Machamp
#0069,³â¥zªÞ,Bellsprout
#0070,¤f§bªá,Weepinbell
#0071,¤j­¹ªá,Victreebel
#0072,º¿·ê¤ô¥À,Tentacool
#0073,¬r¨ë¤ô¥À,Tentacruel
#0074,¤p®±¥Û,Geodude
#0074,¤p®±¥Û,Geodude
10109,ªüÃ¹©Ôªº¼Ë¤l,Geodude
#0075,¶©¶©¥Û,Graveler
#0075,¶©¶©¥Û,Graveler
10110,ªüÃ¹©Ôªº¼Ë¤l,Graveler
#0076,¶©¶©©¥,Golem
#0076,¶©¶©©¥,Golem
10111,ªüÃ¹©Ôªº¼Ë¤l,Golem
#0077,¤p¤õ°¨,Ponyta
#0077,¤p¤õ°¨,Ponyta
10159,¦÷°Çº¸ªº¼Ë¤l,Ponyta
#0078,¯PµK°¨,Rapidash
#0078,¯PµK°¨,Rapidash
10160,¦÷°Çº¸ªº¼Ë¤l,Rapidash
#0079,§b§bÃ~,Slowpoke
#0079,§b§bÃ~,Slowpoke
10161,¦÷°Çº¸ªº¼Ë¤l,Slowpoke
#0080,§b´ßÃ~,Slowbro
#0080,§b´ßÃ~,Slowbro
10162,¦÷°Çº¸ªº¼Ë¤l,Slowbro
#0081,¤pºÏ©Ç*,Magnemite
#0082,¤T¦X¤@ºÏ©Ç*,Magneton
#0083,¤j½µÀn,Farfetch'd
#0083,¤j½µÀn,Farfetch'd
10163,¦÷°Çº¸ªº¼Ë¤l,Farfetch'd
#0084,¹Ê¹Ê,Doduo
#0085,¹Ê¹Ê§Q,Dodrio
#0086,¤p®ü·à,Seel
#0087,¥Õ®ü·à,Dewgong
#0088,¯äªd,Grimer
#0088,¯äªd,Grimer
10112,ªüÃ¹©Ôªº¼Ë¤l,Grimer
#0089,¯ä¯äªd,Muk
#0089,¯ä¯äªd,Muk
10113,ªüÃ¹©Ôªº¼Ë¤l,Muk
#0090,¤j¦Þ¨©,Shellder
#0091,¨ë¥Ò¨©,Cloyster
#0092,°­´µ,Gastly
#0093,°­´µ³q,Haunter
#0094,¯Õ°­,Gengar
#0095,¤j©¥³D,Onix
#0096,¶Ê¯vðñ,Drowzee
#0097,¤Þ¹Úðñ¤H,Hypno
#0098,¤j¹XÃÉ,Krabby
#0099,¥¨¹XÃÉ,Kingler
#0100,ÅRÆE¹q²y,Voltorb
#0100,ÅRÆE¹q²y,Voltorb
10223,¬~»Aªº¼Ë¤l,Voltorb
#0101,¹x¥Ö¹p¼u,Electrode
#0101,¹x¥Ö¹p¼u,Electrode
10224,¬~»Aªº¼Ë¤l,Electrode
#0102,³J³J,Exeggcute
#0103,·¦³J¾ð,Exeggutor
#0103,·¦³J¾ð,Exeggutor
10114,ªüÃ¹©Ôªº¼Ë¤l,Exeggutor
#0104,¥d©Ô¥d©Ô,Cubone
#0105,¹Ç°Õ¹Ç°Õ,Marowak
#0105,¹Ç°Õ¹Ç°Õ,Marowak
10115,ªüÃ¹©Ôªº¼Ë¤l,Marowak
#0106,­¸»L­¦,Hitmonlee
#0107,§Ö®±­¦,Hitmonchan
#0108,¤j¦ÞÀY,Lickitung
#0109,¥Ë´µ¼u,Koffing
#0110,Âù¼u¥Ë´µ,Weezing
#0110,Âù¼u¥Ë´µ,Weezing
10164,¦÷°Çº¸ªº¼Ë¤l,Weezing
#0111,¿W¨¤µR¤û,Rhyhorn
#0112,Æp¨¤µRÃ~,Rhydon
#0113,¦N§Q³J,Chansey
#0114,½¯ÃÃ©Ç,Tangela
#0115,³UÃ~,Kangaskhan
#0116,¾¥®ü°¨,Horsea
#0117,®ü¨ëÀs,Seadra
#0118,¨¤ª÷³½,Goldeen
#0119,ª÷³½¤ý,Seaking
#0120,®ü¬P¬P,Staryu
#0121,Ä_¥Û®ü¬P,Starmie
#0122,Å]Àð¤H°¸*,Mr. Mime
#0122,Å]Àð¤H°¸,Mr. Mime
10165,¦÷°Çº¸ªº¼Ë¤l,Mr. Mime
#0123,­¸¤ÑÁ®½¸,Scyther
#0124,°g®B©j,Jynx
#0125,¹qÀ»Ã~,Electabuzz
#0126,Àn¼L¤õÃ~,Magmar
#0127,³ÍÃ¹´µ,Pinsir
#0128,ªÖ®õÃ¹,Tauros
#0128,ªÖ®õÃ¹,Tauros
10250,©¬©³¨Èªº¼Ë¤l¡]°«¾ÔºØ¡^,Tauros
#0128,ªÖ®õÃ¹,Tauros
10251,©¬©³¨Èªº¼Ë¤l¡]¤õ¿KºØ¡^,Tauros
#0128,ªÖ®õÃ¹,Tauros
10252,©¬©³¨Èªº¼Ë¤l¡]¤ôÄiºØ¡^,Tauros
#0129,ÃU³½¤ý,Magikarp
#0130,¼ÉÃUÀs,Gyarados
#0131,©Ô´¶©Ô´µ,Lapras
#0132,¦ÊÅÜ©Ç,Ditto
#0133,¥ì¥¬,Eevee
10240,,Eevee
#0134,¤ô¥ì¥¬,Vaporeon
#0135,¹p¥ì¥¬,Jolteon
#0136,¤õ¥ì¥¬,Flareon
#0137,¦hÃäÃ~,Porygon
#0138,µâ¥ÛÃ~,Omanyte
#0139,¦h¨ëµâ¥ÛÃ~,Omastar
#0140,¤Æ¥Û²¯,Kabuto
#0141,ÅI¤M²¯,Kabutops
#0142,¤Æ¥ÛÁlÀs,Aerodactyl
#0143,¥d¤ñÃ~,Snorlax
#0144,«æ­á³¾,Articuno
#0144,«æ­á³¾,Articuno
10166,¦÷°Çº¸ªº¼Ë¤l,Articuno
#0145,°{¹q³¾,Zapdos
#0145,°{¹q³¾,Zapdos
10167,¦÷°Çº¸ªº¼Ë¤l,Zapdos
#0146,¤õµK³¾,Moltres
#0146,¤õµK³¾,Moltres
10168,¦÷°Çº¸ªº¼Ë¤l,Moltres
#0147,°g§AÀs,Dratini
#0148,«¢§JÀs,Dragonair
#0149,§ÖÀs,Dragonite
#0150,¶W¹Ú,Mewtwo
#0151,¹Ú¤Û,Mew
²Ä¤G¥@¥NÄ_¥i¹Ú,,
½s¸¹,Ä_¥i¹Ú,
,¤¤¤å,­^¤å
#0152,µâ¯ó¸­,Chikorita
#0153,¤ë®Û¸­,Bayleef
#0154,¤jªÇ¸ª,Meganium
#0155,¤õ²y¹«,Cyndaquil
#0156,¤õ©¥¹«,Quilava
#0157,¤õÃzÃ~,Typhlosion
#0157,¤õÃzÃ~,Typhlosion
10225,¬~»Aªº¼Ë¤l,Typhlosion
#0158,¤p¿÷Æs,Totodile
#0159,ÂÅÆs,Croconaw
#0160,¤j¤OÆs,Feraligatr
#0161,§À¥ß,Sentret
#0162,¤j§À¥ß,Furret
#0163,©B©B,Hoothoot
#0164,¿ßÀY©]ÆN,Noctowl
#0165,ªÝ¿]ÂÎ,Ledyba
#0166,¦w¿]ÂÎ,Ledian
#0167,¶êµ·µï,Spinarak
#0168,ªü§Q¦h´µ,Ariados
#0169,¤e¦r½»,Crobat
#0170,¿OÅ¢³½,Chinchou
#0171,¹q¿O©Ç,Lanturn
#0172,¥Ö¥C,Pichu
10317,,Pichu
#0173,¥ÖÄ_Ä_*,Cleffa
#0174,Ä_Ä_¤B*,Igglybuff
#0175,ªi§J¤ñ*,Togepi
#0176,ªi§J°ò¥j*,Togetic
#0177,¤ÑµM³¶,Natu
#0178,¤ÑµM³¾,Xatu
#0179,«§§Q¦Ï,Mareep
#0180,¯ñ¯ñ¦Ï,Flaaffy
#0181,¹qÀs,Ampharos
#0182,¬üÄRªá,Bellossom
#0183,º¿¤OÅS*,Marill
#0184,º¿¤OÅSÄR*,Azumarill
#0185,¾ð¤~©Ç,Sudowoodo
#0186,°A­»µì¬Ó,Politoed
#0187,··¤l¯ó,Hoppip
#0188,··¤lªá,Skiploom
#0189,··¤l´Ö,Jumpluff
#0190,ªø§À©Ç¤â,Aipom
#0191,¦V¤éºØ¤l,Sunkern
#0192,¦V¤éªá©Ç,Sunflora
#0193,»f»f¸»,Yanma
#0194,¯Qªi,Wooper
#0194,¯Qªi,Wooper
10253,©¬©³¨Èªº¼Ë¤l,Wooper
#0195,ªh¤ý,Quagsire
#0196,¤Ó¶§¥ì¥¬,Espeon
#0197,¤ë«G¥ì¥¬,Umbreon
#0198,¶Â·t¾~,Murkrow
#0199,§b§b¤ý,Slowking
#0199,§b§b¤ý,Slowking
10169,¦÷°Çº¸ªº¼Ë¤l,Slowking
#0200,¹Ú§¯,Misdreavus
#0201,¥¼ª¾¹ÏÄË,Unown
10278,,Unown
10279,,Unown
10280,,Unown
10281,,Unown
10282,,Unown
10283,,Unown
10284,,Unown
10285,,Unown
10286,,Unown
10287,,Unown
10288,,Unown
10289,,Unown
10290,,Unown
10291,,Unown
10292,,Unown
10293,,Unown
10294,,Unown
10295,,Unown
10296,,Unown
10297,,Unown
10298,,Unown
10299,,Unown
10300,,Unown
10301,,Unown
10302,,Unown
10303,,Unown
10304,,Unown
#0202,ªGµM¯Î,Wobbuffet
#0203,ÄQÅï©_,Girafarig
#0204,ºdªG²y,Pineco
#0205,¦ò¯P¦«´µ,Forretress
#0206,¤gÀs§Ì§Ì,Dunsparce
#0207,¤ÑÃÈ,Gligar
#0208,¤j¿û³D,Steelix
#0209,¥¬¾|*,Snubbull
#0210,¥¬¾|¬Ó*,Granbull
#0211,¤d°w³½,Qwilfish
#0211,¤d°w³½,Qwilfish
10226,¬~»Aªº¼Ë¤l,Qwilfish
#0212,¥¨¹XÁ®½¸,Scizor
#0213,³ý³ý,Shuckle
#0214,»®©Ô§JÃ¹´µ,Heracross
#0215,Ëc©Ô,Sneasel
#0215,Ëc©Ô,Sneasel
10227,¬~»Aªº¼Ë¤l,Sneasel
#0216,ºµÄ_Ä_,Teddiursa
#0217,°é°éºµ,Ursaring
#0218,º²©¥ÂÎ,Slugma
#0219,º²©¥½½¤û,Magcargo
#0220,¤p¤s½Þ,Swinub
#0221,ªø¤ò½Þ,Piloswine
#0222,¤Ó¶§¬À·ä,Corsola
#0222,¤Ó¶§¬À·ä,Corsola
10170,¦÷°Çº¸ªº¼Ë¤l,Corsola
#0223,ÅK¬¶³½,Remoraid
#0224,³¹³½±í,Octillery
#0225,«H¨Ï³¾,Delibird
#0226,¥¨¯Í­¸³½,Mantine
#0227,²¯¥Ò³¾,Skarmory
#0228,À¹¾|¤ñ,Houndour
#0229,¶Â¾|¥[,Houndoom
#0230,¨ëÀs¤ý,Kingdra
#0231,¤p¤p¶H,Phanpy
#0232,¹y¥Ò,Donphan
#0233,¦hÃäÃ~¢º,Porygon2
#0234,Åå¨¤³À,Stantler
#0235,¹Ï¹Ï¤ü,Smeargle
#0236,µL¬È¤p¤l,Tyrogue
#0237,¾Ô»R­¦,Hitmontop
#0238,°g®B«½,Smoochum
#0239,¹qÀ»©Ç,Elekid
#0240,Àn¼LÄ_Ä_,Magby
#0241,¤j¥¤Åø,Miltank
#0242,©¯ºÖ³J,Blissey
#0243,¹p¤½,Raikou
#0244,ª¢«Ò,Entei
#0245,¤ô§g,Suicune
#0246,¥®°ò©Ô´µ,Larvitar
#0247,¨F°ò©Ô´µ,Pupitar
#0248,¯Z°ò©Ô´µ,Tyranitar
#0249,¬¥©_¨È,Lugia
#0250,»ñ¤ý,Ho-Oh
#0251,®É©Ô¤ñ,Celebi
²Ä¤T¥@¥NÄ_¥i¹Ú,,
½s¸¹,Ä_¥i¹Ú,
,¤¤¤å,­^¤å
#0252,¤ì¦u®c,Treecko
#0253,´ËªL»h»i,Grovyle
#0254,»h»i¤ý,Sceptile
#0255,¤õ¸XÂû,Torchic
#0256,¤O§§Âû,Combusken
#0257,¤õµKÂû,Blaziken
#0258,¤ôÅD³½,Mudkip
#0259,ªhÅD³½,Marshtomp
#0260,¥¨ªh©Ç,Swampert
#0261,¤g¯T¤ü,Poochyena
#0262,¤j¯T¤ü,Mightyena
#0263,³D¯¾ºµ,Zigzagoon
#0263,³D¯¾ºµ,Zigzagoon
10171,¦÷°Çº¸ªº¼Ë¤l,Zigzagoon
#0264,ª½½Äºµ,Linoone
#0264,ª½½Äºµ,Linoone
10172,¦÷°Çº¸ªº¼Ë¤l,Linoone
#0265,¨ë§ÀÂÎ,Wurmple
#0266,¥Ò´ßÃµ,Silcoon
#0267,¬¼Ây»ñ½º,Beautifly
#0268,¬Þ¥ÒÃµ,Cascoon
#0269,¬r¯»¸¿,Dustox
#0270,½¬¸­µ£¤l,Lotad
#0271,½¬´U¤pµ£,Lombre
#0272,¼Ö¤Ñªeµ£,Ludicolo
#0273,¾ó¹êªG,Seedot
#0274,ªø»ó¸­,Nuzleaf
#0275,¬¾·â¤Ñª¯,Shiftry
#0276,¶Æ°©¿P,Taillow
#0277,¤j¤ý¿P,Swellow
#0278,ªø¯ÍÅÃ,Wingull
#0279,¤j¼LÅÃ,Pelipper
#0280,©Ô¾|©Ôµ·*,Ralts
#0281,©_¾|²ú¦w*,Kirlia
#0282,¨F©`¦·*,Gardevoir
#0283,·È·È¿}²y,Surskit
#0284,«B¯Í¸¿,Masquerain
#0285,Ä¨Ä¨Û£,Shroomish
#0286,¤æ²ÁÛ£,Breloom
#0287,Ãi¤HÃ¡,Slakoth
#0288,¹L°Ê·á,Vigoroth
#0289,½Ð°²¤ý,Slaking
#0290,¤g©~§Ô¤h,Nincada
#0291,ÅK­±§ÔªÌ,Ninjask
#0292,²æ´ß§ÔªÌ,Shedinja
#0293,©B§¬§¬,Whismur
#0294,§qÃz¼u,Loudred
#0295,Ãz­µ©Ç,Exploud
#0296,¹õ¤U¤O¤h,Makuhita
#0297,ÅK´x¤O¤h,Hariyama
#0298,ÅS¤OÄR*,Azurill
#0299,´Â¥_»ó,Nosepass
#0300,¦V§ÀØp,Skitty
#0301,Àu¶®¿ß,Delcatty
#0302,¤Ä»î²´,Sableye
#0303,¤j¼L«½*,Mawile
#0304,¥i¥i¦h©Ô,Aron
#0305,¥i¦h©Ô,Lairon
#0306,ªi¤h¥i¦h©Ô,Aggron
#0307,º¿¨F¨º,Meditite
#0308,«ê¹p©i,Medicham
#0309,¸¨¹pÃ~,Electrike
#0310,¹p¹qÃ~,Manectric
#0311,¥¿¹q©ç©ç,Plusle
#0312,­t¹q©ç©ç,Minun
#0313,¹q¿ÃÂÎ,Volbeat
#0314,²¢²¢¿Ã,Illumise
#0315,¬rÁ¥Á¨,Roselia
#0316,·»­¹Ã~,Gulpin
#0317,§]­¹Ã~,Swalot
#0318,§Q¤ú³½,Carvanha
#0319,¥¨¤úÃT,Sharpedo
#0320,§q§qÄH,Wailmer
#0321,§qÄH¤ý,Wailord
#0322,§b¤õ¾m,Numel
#0323,¼Q¤õ¾m,Camerupt
#0324,·Ñ¬´Àt,Torkoal
#0325,¸õ¸õ½Þ,Spoink
#0326,¼P¼P½Þ,Grumpig
#0327,®Ì®Ì´³,Spinda
#0328,¤jÃEÃÆ,Trapinch
#0329,¶W­µªi¥®ÂÎ,Vibrava
#0330,¨Fºz»f¸»,Flygon
#0331,¨ë²y¥P¤H´x,Cacnea
#0332,¹Úºq¥P¤H´x,Cacturne
#0333,«Cºø³¾,Swablu
#0334,¤C¤i«C³¾,Altaria
#0335,¿ßÃ^±Ù,Zangoose
#0336,¶º°Í³D,Seviper
#0337,¤ë¥Û,Lunatone
#0338,¤Ó¶§©¥,Solrock
#0339,ªdªdÄÏ,Barboach
#0340,óÎ³½¤ý,Whiscash
#0341,Às½¼¤p§L,Corphish
#0342,ÅKîgÀs½¼,Crawdaunt
#0343,¤Ñ¯¯°¸,Baltoy
#0344,©À¤O¤g°¸,Claydol
#0345,Ä²¤â¦Ê¦X,Lileep
#0346,·nÄx¦Ê¦X,Cradily
#0347,¤Ó¥j¦ÐÂÎ,Anorith
#0348,¤Ó¥j²¯¥Ò,Armaldo
#0349,ÁàÁà³½,Feebas
#0350,¬ü¯Ç´µ,Milotic
#0351,ÄÆ¯Bªwªw,Castform
10013,,Castform
10014,,Castform
10015,,Castform
#0352,ÅÜÁôÀs,Kecleon
#0353,«è¼v«½«½,Shuppet
#0354,¶A©G«½«½,Banette
#0355,©]¨µÆF,Duskull
#0356,§Ï´a©]ÆF,Dusclops
#0357,¼ö±aÀs,Tropius
#0358,­·¹a¹a,Chimecho
#0359,ªü«k±ô¾|,Absol
#0360,¤pªGµM,Wynaut
#0361,³·µ£¤l,Snorunt
#0362,¦B°­Å@,Glalie
#0363,®ü°\²y,Spheal
#0364,®üÅ]·à,Sealeo
#0365,«Ò¤ú®ü·à,Walrein
#0366,¬Ã¯]¨©,Clamperl
#0367,Ây´³³½,Huntail
